method,dataset,p,k-1,ParTime
random,enwiki.txt,8,62315476,244585
random,enwiki.txt,16,90055470,247414
random,enwiki.txt,32,117498786,251892
random,enwiki.txt,64,141245447,256069
random,enwiki.txt,128,163766160,251690
random,enwiki.txt,256,179998205,252692
random,enwiki-swap.txt,2,2499530,195406
random,enwiki-swap.txt,4,5380263,206668
random,enwiki-swap.txt,8,8663637,217529
random,enwiki-swap.txt,16,12415322,220517
random,enwiki-swap.txt,32,16760738,239690
random,enwiki-swap.txt,64,21893396,245075
random,enwiki-swap.txt,128,28078859,246908
random,enwiki-swap.txt,256,35656960,253945
HYPE,out.github,2,4688,1122
HYPE,out.github,4,17178,1239
HYPE,out.github,8,34439,1269
HYPE,out.github,16,55339,1128
HYPE,out.github,32,79384,847
HYPE,out.github,64,106763,1246
HYPE,out.github,128,136213,1159
HYPE,out.github,256,164411,1107
HYPE,out.github-swap.txt,2,10927,1167
HYPE,out.github-swap.txt,4,20882,1293
HYPE,out.github-swap.txt,8,35637,1282
HYPE,out.github-swap.txt,16,55938,782
HYPE,out.github-swap.txt,32,82768,1110
HYPE,out.github-swap.txt,64,113421,1087
HYPE,out.github-swap.txt,128,146440,1067
HYPE,out.github-swap.txt,256,173283,1205
HYPE,out.actor-movie,2,35292,3265
HYPE,out.actor-movie,4,100648,2441
HYPE,out.actor-movie,8,189500,2463
HYPE,out.actor-movie,16,288691,2462
HYPE,out.actor-movie,32,395094,2202
HYPE,out.actor-movie,64,499188,2967
HYPE,out.actor-movie,128,588347,2789
HYPE,out.actor-movie,256,664884,2881
HYPE,out.actor-movie-swap.txt,2,34956,3592
HYPE,out.actor-movie-swap.txt,4,87174,3664
HYPE,out.actor-movie-swap.txt,8,160529,3666
HYPE,out.actor-movie-swap.txt,16,271073,3422
HYPE,out.actor-movie-swap.txt,32,404833,2662
HYPE,out.actor-movie-swap.txt,64,516085,2810
HYPE,out.actor-movie-swap.txt,128,609692,2373
HYPE,out.actor-movie-swap.txt,256,692144,2586
HYPE,out.dblp-author,2,767580,29765
HYPE,out.dblp-author,4,1370008,29821
HYPE,out.dblp-author,8,2142201,27900
HYPE,out.dblp-author,16,2785249,40998
HYPE,out.dblp-author,32,3225521,36829
HYPE,out.dblp-author,64,3490839,30493
HYPE,out.dblp-author,128,3649036,38303
HYPE,out.dblp-author,256,3734025,38717
HYPE,out.dblp-author-swap.txt,2,340459,43067
HYPE,out.dblp-author-swap.txt,4,641526,44010
HYPE,out.dblp-author-swap.txt,8,971965,43758
HYPE,out.dblp-author-swap.txt,16,1276793,48015
HYPE,out.dblp-author-swap.txt,32,1550061,37768
HYPE,out.dblp-author-swap.txt,64,1768710,37976
HYPE,out.dblp-author-swap.txt,128,1937642,34858
HYPE,out.dblp-author-swap.txt,256,2057772,40935
HYPE,reuters.txt,2,64121,131594
HYPE,reuters.txt,4,159993,127108
HYPE,reuters.txt,8,304953,128171
HYPE,reuters.txt,16,523017,128961
HYPE,reuters.txt,32,848590,129040
HYPE,reuters.txt,64,1333248,120352
HYPE,reuters.txt,128,2038554,129171
HYPE,reuters.txt,256,3050714,129636
HYPE,reuters-swap.txt,2,160324,192639
HYPE,reuters-swap.txt,4,477196,185640
HYPE,reuters-swap.txt,8,1046364,195022
HYPE,reuters-swap.txt,16,1877496,199607
HYPE,reuters-swap.txt,32,3182636,164932
HYPE,reuters-swap.txt,64,5102140,184107
HYPE,reuters-swap.txt,128,7676261,173744
HYPE,reuters-swap.txt,256,11455659,176665
HYPE,out.trackers,2,480498,401905
HYPE,out.trackers,4,897154,376729
HYPE,out.trackers,8,1423082,381702
HYPE,out.trackers,16,2179620,383357
HYPE,out.trackers,32,3222469,371354
HYPE,out.trackers,64,4592395,396819
HYPE,out.trackers,128,6359910,387785
HYPE,out.trackers,256,8445156,387171
HYPE,out.trackers-swap.txt,2,2121275,377140
HYPE,out.trackers-swap.txt,4,3096752,422256
HYPE,out.trackers-swap.txt,8,4544180,391313
HYPE,out.trackers-swap.txt,16,6487482,432015
HYPE,out.trackers-swap.txt,32,8945905,448207
HYPE,out.trackers-swap.txt,64,11821276,428979
HYPE,out.trackers-swap.txt,128,15136184,404382
HYPE,out.trackers-swap.txt,256,18941919,457731
HYPE,out.orkut-groupmemberships,2,4539542,812655
HYPE,out.orkut-groupmemberships,4,10429716,802264
HYPE,out.orkut-groupmemberships,8,18469045,812683
HYPE,out.orkut-groupmemberships,16,29083035,827600
HYPE,out.orkut-groupmemberships,32,41673821,801352
HYPE,out.orkut-groupmemberships,64,56477606,864578
HYPE,out.orkut-groupmemberships,128,72902664,834904
HYPE,out.orkut-groupmemberships,256,91690038,930299
HYPE,out.orkut-groupmemberships-swap.txt,2,1461928,1188243
HYPE,out.orkut-groupmemberships-swap.txt,4,3865476,1038704
HYPE,out.orkut-groupmemberships-swap.txt,8,8135308,1045690
HYPE,out.orkut-groupmemberships-swap.txt,16,15578996,1128063
HYPE,out.orkut-groupmemberships-swap.txt,32,28323361,1223915
HYPE,out.orkut-groupmemberships-swap.txt,64,49486157,1270948
HYPE,out.orkut-groupmemberships-swap.txt,128,81441003,1291676
HYPE,out.orkut-groupmemberships-swap.txt,256,124286260,1325233
HYPE,enwiki.txt,2,1598335,1347903
HYPE,enwiki.txt,4,3382582,1272919
HYPE,enwiki.txt,8,5994500,1293900
HYPE,enwiki.txt,16,9674274,1332392
HYPE,enwiki.txt,32,14583499,1279736
HYPE,enwiki.txt,64,21105904,1312921
HYPE,enwiki.txt,128,29590303,1237356
HYPE,enwiki.txt,256,40333535,1133068
HYPE,enwiki-swap.txt,2,305908,1104522
HYPE,enwiki-swap.txt,4,587504,1087225
HYPE,enwiki-swap.txt,8,1166520,1042509
HYPE,enwiki-swap.txt,16,2280592,1144842
HYPE,enwiki-swap.txt,32,3938693,1095655
HYPE,enwiki-swap.txt,64,6269441,1117931
HYPE,enwiki-swap.txt,128,9441580,1039295
HYPE,enwiki-swap.txt,256,13647642,1117966
KaHyPar,wiki_new.txt,2,1976,3982
KaHyPar,wiki_new.txt,4,4855,5915
KaHyPar,wiki_new.txt,8,8884,10200
KaHyPar,wiki_new.txt,16,14109,20477
KaHyPar,wiki_new.txt,32,22796,14516
KaHyPar,wiki_new.txt,64,31649,15307
KaHyPar,wiki_new.txt,128,42050,19787
KaHyPar,wiki_new.txt,256,55021,28248
KaHyPar,wiki_new.txt-swap.txt,2,2848,3164
KaHyPar,wiki_new.txt-swap.txt,4,6857,7307
KaHyPar,wiki_new.txt-swap.txt,8,10841,13992
KaHyPar,wiki_new.txt-swap.txt,16,16934,24161
KaHyPar,wiki_new.txt-swap.txt,32,27068,12346
KaHyPar,wiki_new.txt-swap.txt,64,36310,16227
KaHyPar,wiki_new.txt-swap.txt,128,46648,21289
KaHyPar,wiki_new.txt-swap.txt,256,57385,28337
KaHyPar,out.dbpedia-location,2,108,18720
KaHyPar,out.dbpedia-location,4,269,35915
KaHyPar,out.dbpedia-location,8,431,39502
KaHyPar,out.dbpedia-location,16,746,86376
KaHyPar,out.dbpedia-location,32,1025,122852
KaHyPar,out.dbpedia-location,64,1410,123969
KaHyPar,out.dbpedia-location,128,1919,185606
KaHyPar,out.dbpedia-location,256,2554,234430
KaHyPar,out.dbpedia-location-swap.txt,2,544,3558
KaHyPar,out.dbpedia-location-swap.txt,4,810,4639
KaHyPar,out.dbpedia-location-swap.txt,8,4105,7934
KaHyPar,out.dbpedia-location-swap.txt,16,9014,11633
KaHyPar,out.dbpedia-location-swap.txt,32,13061,16215
KaHyPar,out.dbpedia-location-swap.txt,64,16522,17310
KaHyPar,out.dbpedia-location-swap.txt,128,22023,20185
KaHyPar,out.dbpedia-location-swap.txt,256,27601,24205
KaHyPar,out.github,2,1339,68989
KaHyPar,out.github,4,8528,231359
KaHyPar,out.github,8,18967,412708
KaHyPar,out.github,16,32060,763109
KaHyPar,out.github,32,45064,924331
KaHyPar,out.github,64,59304,578603
KaHyPar,out.github,128,74587,643066
KaHyPar,out.github,256,93501,727947
KaHyPar,out.github-swap.txt,2,3735,234053
KaHyPar,out.github-swap.txt,4,11712,642430
